"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"New Jersey";4,924;0,283;4,364;5,479;-0,004;0,043;-0,088;0,082;0,751;0,104;0,518;0,923;0,989;0,006;0,974;0,998;0,474;0,041;0,4;0,561
"North Carolina";1,74;0,112;1,53;1,975;-0,234;0,044;-0,32;-0,144;0,925;0,036;0,845;0,98;0,982;0,009;0,962;0,995;0,403;0,035;0,341;0,48
"Utah";0,788;0,138;0,414;0,996;-0,29;0,104;-0,54;-0,181;0,92;0,033;0,843;0,973;0,973;0,015;0,937;0,992;0,326;0,03;0,273;0,389
"North Dakota";0,959;0,165;0,759;1,484;-0,081;0,029;-0,135;-0,018;0,899;0,051;0,774;0,973;0,988;0,007;0,971;0,998;0,141;0,013;0,119;0,169
"South Carolina";0,913;0,053;0,81;1,015;-0,505;0,041;-0,587;-0,425;0,945;0,022;0,894;0,98;0,97;0,013;0,939;0,99;0,248;0,022;0,21;0,293
"Mississippi";0,918;0,091;0,75;1,099;-0,216;0,04;-0,297;-0,138;0,899;0,038;0,812;0,958;0,971;0,012;0,943;0,99;0,259;0,023;0,217;0,308
"Colorado";2,828;0,163;2,513;3,158;-0,079;0,044;-0,163;0,007;0,904;0,052;0,784;0,979;0,988;0,007;0,972;0,998;0,463;0,04;0,393;0,547
"South Dakota";0,278;0,079;0,115;0,423;-0,108;0,045;-0,226;-0,047;0,896;0,044;0,792;0,965;0,962;0,024;0,901;0,991;0,071;0,007;0,059;0,085
"Oklahoma";0,442;0,07;0,313;0,586;-0,358;0,058;-0,479;-0,25;0,925;0,028;0,861;0,968;0,947;0,021;0,901;0,979;0,217;0,019;0,182;0,259
"Wyoming";1,284;0,097;1,095;1,47;-0,185;0,035;-0,253;-0,116;0,864;0,053;0,75;0,95;0,979;0,01;0,956;0,993;0,269;0,025;0,226;0,321
"West Virginia";0,666;0,06;0,553;0,787;-0,391;0,041;-0,472;-0,311;0,918;0,028;0,854;0,963;0,954;0,016;0,918;0,98;0,219;0,02;0,184;0,261
"Maine";0,877;0,172;0,556;1,262;-0,178;0,032;-0,246;-0,118;0,857;0,066;0,704;0,958;0,984;0,009;0,962;0,997;0,177;0,016;0,149;0,211
"New Hampshire";4,167;0,252;3,67;4,661;-0,007;0,027;-0,061;0,046;0,771;0,11;0,53;0,945;0,993;0,005;0,979;0,999;0,196;0,017;0,165;0,231
"Arizona";1,51;0,111;1,3;1,735;-0,196;0,039;-0,273;-0,12;0,897;0,041;0,806;0,963;0,98;0,009;0,957;0,994;0,269;0,024;0,226;0,319
"Rhode Island";2,514;0,129;2,264;2,776;-0,221;0,045;-0,31;-0,134;0,929;0,039;0,835;0,985;0,988;0,007;0,971;0,997;0,465;0,041;0,391;0,55
