"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Jeleniogórski";-1,004;0,665;-2,32;0,294;4,739;1,085;2,535;6,809;0,895;0,073;0,715;0,987;0,765;0,13;0,475;0,964;11,386;3,692;6,055;20,112
"Legnicko-Głogowski";-1,341;0,969;-3,239;0,579;5,149;1,013;3,137;7,149;0,819;0,101;0,586;0,968;0,776;0,113;0,522;0,951;55,926;20,856;26,779;105,424
"Tarnobrzeski";-0,175;0,581;-1,367;0,928;4,703;1,073;2,619;6,835;0,904;0,068;0,735;0,988;0,773;0,128;0,477;0,963;7,48;2,499;4,028;13,511
"Koniński";-0,306;0,61;-1,556;0,856;4,732;1,076;2,655;6,844;0,904;0,069;0,727;0,988;0,764;0,132;0,472;0,963;9,004;2,897;4,915;16,018
"Szczecinecko-pyrzycki";-0,94;0,5;-1,923;0,017;4,959;1,035;2,948;6,942;0,922;0,052;0,796;0,99;0,796;0,123;0,512;0,971;6,012;1,963;3,342;11,042
"Tyski";-1,24;0,833;-2,822;0,392;5,108;0,989;3,161;6,97;0,839;0,091;0,627;0,972;0,71;0,128;0,438;0,93;16,027;6,789;6,731;32,253
"Sieradzki";-0,65;0,65;-1,935;0,602;4,749;1,096;2,508;6,839;0,906;0,069;0,723;0,988;0,78;0,129;0,472;0,968;11,312;3,641;6,3;20,513
"Rzeszowski";0,071;0,846;-1,792;1,587;4,215;1,065;2,296;6,462;0,826;0,111;0,571;0,976;0,759;0,129;0,469;0,957;9,213;3,197;4,852;17,015
"Szczeciński";-0,358;0,6;-1,568;0,801;4,723;1,047;2,615;6,7;0,894;0,073;0,715;0,987;0,768;0,129;0,474;0,96;7,861;2,766;4,05;14,609
"Bytomski";-0,775;0,601;-1,95;0,387;4,753;0,989;2,824;6,712;0,908;0,062;0,753;0,989;0,764;0,127;0,477;0,961;8,41;2,843;4,436;15,373
"Gliwicki";-0,338;0,678;-1,767;0,932;4,575;1,122;2,321;6,751;0,873;0,092;0,638;0,986;0,759;0,133;0,461;0,96;9,611;3,317;5,118;17,606
"Katowicki";-0,883;0,664;-2,17;0,397;4,937;1,04;2,853;6,979;0,888;0,072;0,707;0,985;0,749;0,133;0,454;0,958;10,909;3,932;5,422;20,391
"Koszaliński";-0,439;0,604;-1,629;0,744;4,805;1,06;2,67;6,863;0,906;0,067;0,735;0,989;0,77;0,131;0,478;0,966;9,332;3,133;5,031;17,144
"Suwalski";-0,76;0,686;-2,151;0,569;4,784;1,03;2,73;6,75;0,889;0,076;0,701;0,985;0,744;0,131;0,452;0,953;11,72;4,07;6,046;21,685
"Lubelski";-0,204;0,643;-1,55;0,958;4,543;1,074;2,408;6,645;0,879;0,085;0,663;0,984;0,758;0,128;0,474;0,962;8,389;2,861;4,396;15,438
"Wałbrzyski";-0,757;0,535;-1,805;0,303;4,861;1,004;2,841;6,769;0,919;0,054;0,789;0,989;0,772;0,127;0,489;0,964;6,982;2,283;3,782;12,51
"Miasto Warszawa";-0,084;0,634;-1,402;1,118;4,545;1,137;2,285;6,699;0,877;0,09;0,653;0,986;0,774;0,128;0,477;0,961;7,925;2,668;4,278;14,214
"Tarnowski";-0,427;0,628;-1,721;0,751;4,689;1,078;2,551;6,767;0,889;0,077;0,689;0,987;0,769;0,127;0,489;0,964;8,984;2,919;4,848;16,396
"Piotrkowski";-0,033;0,646;-1,363;1,172;4,458;1,139;2,207;6,632;0,885;0,083;0,67;0,986;0,765;0,127;0,478;0,96;7,658;2,561;4,164;13,889
"Warszawski wschodni";-0,35;0,839;-2,084;1,156;4,275;1,1;2,238;6,45;0,818;0,113;0,555;0,978;0,764;0,131;0,472;0,963;12,209;4,248;6,34;22,742
"Pilski";-0,515;0,585;-1,688;0,655;4,772;1,071;2,659;6,871;0,907;0,069;0,733;0,989;0,775;0,13;0,48;0,966;9,088;2,986;5,005;16,243
"Nowosądecki";-0,181;0,661;-1,558;1,094;4,591;1,107;2,318;6,747;0,867;0,092;0,638;0,984;0,765;0,13;0,468;0,962;9,382;3,273;4,867;17,041
"Elbląski";-0,415;0,494;-1,411;0,547;4,845;1,032;2,749;6,825;0,921;0,054;0,787;0,989;0,794;0,122;0,51;0,972;5,464;1,779;3,05;9,656
"Sosnowiecki";-1,047;0,835;-2,68;0,557;4,77;1,043;2,686;6,789;0,84;0,106;0,579;0,98;0,745;0,131;0,46;0,953;24,349;8,412;12,045;45,078
"Krosnieński";-0,848;0,504;-1,853;0,123;4,92;1,052;2,838;7,038;0,921;0,054;0,79;0,989;0,795;0,123;0,513;0,971;6,447;2,094;3,587;11,588
"Krakowski";-0,198;0,993;-2,241;1,618;4,709;1,021;2,864;6,875;0,79;0,124;0,504;0,97;0,76;0,135;0,442;0,964;17,28;6,151;8,436;31,687
"Częstochowski";-0,643;0,626;-1,88;0,566;5,024;1,02;2,958;6,989;0,908;0,063;0,747;0,987;0,742;0,134;0,449;0,951;10,56;3,688;5,482;19,946
"Grudziądzki";-0,182;0,528;-1,272;0,802;4,721;1,108;2,483;6,812;0,911;0,062;0,754;0,989;0,784;0,126;0,491;0,968;6,474;2,08;3,576;11,383
"Chełmsko-zamojski";-1,055;0,557;-2,113;0,053;4,889;1,047;2,838;6,962;0,92;0,054;0,787;0,99;0,786;0,125;0,492;0,967;7,949;2,591;4,387;14,617
"Bielski";-0,339;0,602;-1,566;0,787;4,56;1,092;2,431;6,648;0,892;0,074;0,712;0,987;0,776;0,125;0,499;0,962;7,031;2,394;3,749;12,966
"Rybnicki";-1,005;0,937;-2,859;0,8;4,923;1,049;2,921;6,996;0,801;0,112;0,548;0,971;0,718;0,137;0,414;0,942;28,587;11,314;12,242;55,27
"Miasto Poznań";-0,931;0,555;-2,019;0,167;4,914;1,022;2,909;6,911;0,918;0,057;0,776;0,989;0,792;0,121;0,515;0,972;7,945;2,569;4,359;14,416
"Warszawski zachodni";-0,402;1,02;-2,43;1,458;4,311;0,937;2,594;6,298;0,781;0,129;0,483;0,968;0,771;0,123;0,49;0,959;13,277;4,991;6,596;25,237
"Inowrocławski";-0,674;0,544;-1,762;0,363;4,829;1,06;2,703;6,873;0,917;0,058;0,768;0,99;0,781;0,128;0,49;0,967;7,184;2,317;3,975;12,584
"Świecki";-0,856;0,822;-2,525;0,737;4,972;1,03;2,883;6,964;0,809;0,106;0,559;0,963;0,777;0,126;0,496;0,967;19,292;7,305;9,403;37,838
"Gorzowski";-0,566;0,537;-1,643;0,469;4,86;1,078;2,679;6,945;0,917;0,058;0,77;0,99;0,788;0,124;0,498;0,969;7,216;2,389;3,91;12,953
"Przemyski";-1,028;0,528;-2,075;0,011;4,886;1,037;2,816;6,951;0,923;0,052;0,798;0,99;0,786;0,124;0,5;0,969;6,725;2,171;3,76;11,852
"Żyrardowski";-0,683;0,825;-2,4;0,83;4,583;1,006;2,652;6,594;0,853;0,102;0,591;0,983;0,732;0,137;0,429;0,954;16,008;5,836;7,678;30,501
"Ciechanowski";-0,952;0,775;-2,458;0,548;4,623;1,032;2,633;6,633;0,841;0,1;0,605;0,978;0,744;0,131;0,451;0,951;13,491;5,12;6,26;26,055
"Płocki";-0,957;1,002;-2,932;0,979;4,958;0,993;3,018;6,927;0,778;0,125;0,491;0,964;0,781;0,124;0,502;0,965;80,794;27,583;42,086;149,115
