"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"49";0,662;0,259;0,133;1,187;2,976;0,399;2,271;3,817;0,906;0,049;0,79;0,977;0,897;0,065;0,738;0,986;1,429;0,287;0,974;2,065
"38";0,034;0,752;-1,4;1,527;5,397;0,77;3,925;6,985;0,923;0,05;0,804;0,989;0,931;0,05;0,803;0,992;23,633;4,918;15,895;35,194
"45";-0,002;0,191;-0,364;0,394;1,649;0,284;1,185;2,157;0,869;0,06;0,728;0,964;0,87;0,07;0,707;0,973;0,614;0,143;0,392;0,943
"28";-0,81;0,158;-1,107;-0,501;2,254;0,346;1,59;2,98;0,935;0,034;0,855;0,985;0,876;0,077;0,693;0,981;1,019;0,208;0,683;1,512
"08";-0,622;0,179;-0,963;-0,26;1,56;0,153;1,257;1,857;0,852;0,067;0,698;0,953;0,944;0,036;0,857;0,992;0,557;0,116;0,37;0,819
"46";0,052;0,716;-0,886;2,36;3,317;0,849;0,693;4,7;0,834;0,086;0,646;0,969;0,771;0,104;0,554;0,956;3,364;1,116;1,801;5,998
"40";-2,979;0,807;-4,21;-0,967;2,528;0,46;1,766;3,535;0,836;0,069;0,678;0,947;0,887;0,053;0,766;0,963;5,003;1,631;2,958;9,475
"56";-1,546;0,585;-2,675;-0,38;5,663;0,856;3,96;7,328;0,961;0,027;0,893;0,995;0,898;0,065;0,743;0,987;19,971;4,115;13,378;29,411
"54";-1,753;0,681;-2,836;-0,354;1,781;0,977;0,777;4,443;0,897;0,058;0,762;0,979;0,893;0,071;0,702;0,979;3;0,838;1,806;5,008
"23";-1,003;0,269;-1,503;-0,444;0,726;0,392;0,281;1,24;0,841;0,072;0,683;0,956;0,893;0,064;0,742;0,983;0,834;0,204;0,531;1,315
"33";0,294;0,683;-0,659;2,564;2,898;1,653;0,043;5,648;0,92;0,093;0,65;0,995;0,873;0,107;0,601;0,996;1,918;0,398;1,215;2,774
"04";-1,58;0,65;-2,752;-0,539;1,249;0,354;0,696;1,997;0,88;0,072;0,705;0,977;0,952;0,034;0,863;0,994;1,377;0,3;0,907;2,072
"44";-0,811;0,757;-3,276;-0,139;2,971;1,547;-0,19;5,6;0,94;0,068;0,718;0,995;0,875;0,104;0,612;0,994;2,306;0,567;1,144;3,459
