"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"New Jersey";-1,27;0,234;-1,731;-0,818;1,023;0,181;0,687;1,389;0,836;0,069;0,683;0,943;0,88;0,051;0,76;0,958;0,726;0,157;0,487;1,096
"North Carolina";0,781;0,252;0,226;1,191;3,827;0,725;2,231;5,143;0,948;0,039;0,849;0,994;0,83;0,095;0,614;0,972;1,474;0,306;0,98;2,177
"Utah";1,015;0,289;0,433;1,565;3,935;0,311;3,343;4,599;0,912;0,049;0,79;0,982;0,931;0,047;0,813;0,991;1,907;0,362;1,333;2,715
"North Dakota";0,475;0,857;-1,199;2,167;5,753;0,847;4,083;7,388;0,915;0,06;0,773;0,987;0,934;0,047;0,814;0,992;39,517;8,318;26,422;59,449
"South Carolina";0,243;0,172;-0,109;0,572;2,338;0,205;1,941;2,724;0,879;0,053;0,759;0,961;0,894;0,054;0,768;0,975;0,625;0,128;0,422;0,93
"Mississippi";-0,604;0,179;-0,945;-0,236;2,986;0,406;2,252;3,826;0,953;0,03;0,879;0,994;0,897;0,068;0,726;0,986;1,398;0,262;0,984;1,985
"Colorado";-0,45;0,164;-0,763;-0,124;2,294;0,125;2,048;2,542;0,871;0,059;0,736;0,962;0,956;0,03;0,885;0,995;0,508;0,094;0,359;0,723
"South Dakota";0,388;0,396;-0,462;1,118;4,36;0,646;3,049;5,574;0,87;0,069;0,704;0,968;0,797;0,094;0,592;0,945;3,579;0,865;2,169;5,545
"Oklahoma";-2,08;1,045;-3,872;0,222;3,757;0,597;2,716;5,044;0,857;0,066;0,711;0,96;0,883;0,06;0,737;0,967;11,019;3,464;6,298;19,614
"Wyoming";-1,061;0,738;-2,442;0,447;5,97;0,962;4,05;7,806;0,958;0,03;0,883;0,995;0,897;0,067;0,737;0,985;35,473;7,506;23,395;52,698
"West Virginia";-2,242;0,464;-3,118;-1,275;1,995;0,351;1,376;2,726;0,894;0,058;0,753;0,977;0,918;0,045;0,813;0,982;3,338;0,732;2,191;5,031
"Maine";-0,849;0,246;-1,377;-0,387;1,102;0,237;0,637;1,565;0,865;0,061;0,722;0,959;0,907;0,053;0,782;0,985;0,84;0,183;0,549;1,256
"New Hampshire";-0,095;0,64;-0,993;1,729;1,539;0,758;-0,064;3,644;0,833;0,082;0,646;0,969;0,858;0,083;0,657;0,978;1,405;0,347;0,889;2,236
"Arizona";-1,711;0,748;-3,011;-0,457;2,022;0,392;1,42;2,838;0,88;0,068;0,711;0,975;0,953;0,033;0,87;0,994;1,879;0,395;1,262;2,77
"Rhode Island";-2,761;1,205;-4,203;-0,125;0,659;1,189;-0,132;4,33;0,831;0,103;0,598;0,986;0,943;0,065;0,743;0,996;1,598;0,656;0,926;3,336
