"SQGDP9 Real GDP by state 1/"
"(millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"00000","United States","35","      Retail trade",956670.0,981188.0,1003608.0,977482.0,990381.0,997685.0,975084.0,986121.0,971359.0,945669.0,948939.0,954608.0,938075.0,931707.0,918008.0,892745.0,882689.0,878819.0,870516.0,893344.0,888185.0,902374.0,904200.0,905980.0,905036.0,901429.0,893744.0,907189.0,912784.0,894008.0,914638.0,912230.0,941227.0,934368.0,933042.0,938120.0,942517.0,955753.0,962484.0,954762.0,970787.0,988228.0,998294.0,1001137.0,1017298.0,1017779.0,1029788.0,1040489.0,1046412.0,1055642.0,1073574.0,1075572.0,1093505.0,1084012.0,1098137.0,1087218.0,1109901.0,1110628.0,1122447.0,1130041.0,1109611.0,1010721.0,1112663.0
"00000","United States","36","      Transportation and warehousing",429601.0,437120.0,461327.0,467680.0,468175.0,479493.0,478379.0,475415.0,463083.0,477251.0,467014.0,479285.0,472664.0,473593.0,467462.0,456050.0,430824.0,439031.0,439536.0,448409.0,445219.0,453318.0,467458.0,476770.0,467613.0,472300.0,465990.0,470252.0,474438.0,471790.0,470969.0,470662.0,477695.0,473376.0,477128.0,487125.0,486228.0,489111.0,499990.0,499197.0,494114.0,505196.0,514078.0,515273.0,505583.0,514942.0,514385.0,526675.0,530592.0,534165.0,535463.0,541330.0,554549.0,554578.0,558613.0,565235.0,565763.0,571847.0,581414.0,584463.0,569855.0,438937.0,497815.0
"00000","United States","45","      Information",595398.0,605424.0,602282.0,603792.0,603503.0,615783.0,638028.0,633740.0,651765.0,672735.0,694729.0,716724.0,716170.0,741845.0,744084.0,709324.0,699875.0,700589.0,704702.0,735136.0,733277.0,740995.0,764014.0,763096.0,757472.0,763612.0,760447.0,762641.0,758648.0,768340.0,756819.0,752000.0,810591.0,816815.0,830263.0,854231.0,833261.0,845943.0,852736.0,862557.0,899647.0,922597.0,948918.0,979276.0,1003706.0,1011030.0,1027811.0,1035507.0,1058951.0,1072528.0,1095456.0,1114240.0,1127211.0,1161379.0,1173476.0,1183426.0,1206377.0,1234860.0,1256172.0,1278432.0,1269013.0,1247019.0,1304259.0
"00000","United States","51","      Finance and insurance",1026175.0,1051013.0,1079885.0,1094920.0,1111223.0,1095316.0,1105839.0,1115374.0,1132153.0,1103595.0,1072839.0,1008454.0,1029199.0,967175.0,905732.0,777951.0,1015873.0,1113956.0,1129467.0,1108188.0,1104688.0,1084676.0,1053652.0,1067827.0,1080037.0,1054571.0,1074967.0,1091665.0,1135119.0,1161805.0,1182410.0,1171887.0,1086676.0,1089397.0,1084211.0,1114793.0,1121839.0,1154886.0,1154793.0,1172166.0,1196096.0,1219364.0,1172096.0,1171875.0,1168956.0,1193643.0,1220399.0,1239085.0,1221887.0,1186375.0,1204875.0,1205352.0,1206271.0,1213178.0,1225876.0,1184794.0,1217922.0,1211875.0,1197654.0,1219910.0,1178666.0,1212154.0,1249294.0
"00000","United States","56","      Real estate and rental and leasing",1778756.0,1793926.0,1803766.0,1820698.0,1814404.0,1815684.0,1829301.0,1872985.0,1883979.0,1892141.0,1915871.0,1950050.0,1948120.0,1958527.0,1953617.0,1957603.0,1946819.0,1921305.0,1923571.0,1926823.0,1951477.0,1982907.0,1992873.0,2020233.0,2005567.0,2052272.0,2053552.0,2094487.0,2082486.0,2096648.0,2112951.0,2100551.0,2119749.0,2121029.0,2152271.0,2161272.0,2156845.0,2166664.0,2187331.0,2195556.0,2208669.0,2215677.0,2231875.0,2240037.0,2249478.0,2266054.0,2266914.0,2271698.0,2293414.0,2309863.0,2311374.0,2325956.0,2359044.0,2377151.0,2384327.0,2402434.0,2412295.0,2423961.0,2437326.0,2444103.0,2440390.0,2376795.0,2421443.0
"00000","United States","60","      Professional, scientific, and technical services",969486.0,964779.0,971839.0,978304.0,1002170.0,1004583.0,1008909.0,1018833.0,1020890.0,1025870.0,1053966.0,1085451.0,1101270.0,1128369.0,1144081.0,1139814.0,1093687.0,1063344.0,1058673.0,1052552.0,1069833.0,1082325.0,1104027.0,1115913.0,1119407.0,1140278.0,1144628.0,1153411.0,1176611.0,1190220.0,1188960.0,1198337.0,1189007.0,1180486.0,1191575.0,1206099.0,1209557.0,1227872.0,1264610.0,1271099.0,1281951.0,1292326.0,1305971.0,1312413.0,1331762.0,1334210.0,1331845.0,1348592.0,1355247.0,1372136.0,1386292.0,1404738.0,1428271.0,1448618.0,1458317.0,1472033.0,1495922.0,1506690.0,1531661.0,1543487.0,1539482.0,1423754.0,1495019.0
"00000","United States","64","      Management of companies and enterprises",283480.0,277367.0,276626.0,276282.0,281691.0,279811.0,273852.0,273852.0,274762.0,268787.0,268742.0,270244.0,268721.0,272453.0,275659.0,273387.0,246310.0,248885.0,255473.0,256965.0,263296.0,266621.0,270622.0,278210.0,281619.0,282516.0,278569.0,280280.0,294063.0,295139.0,301615.0,317964.0,305888.0,313056.0,321922.0,327724.0,339809.0,334400.0,338250.0,340637.0,346258.0,346530.0,347282.0,348044.0,347007.0,349628.0,351692.0,356784.0,361534.0,369418.0,376363.0,394939.0,389810.0,394996.0,408420.0,412112.0,424209.0,430005.0,431483.0,436022.0,431828.0,422287.0,430011.0
"00000","United States","65","      Administrative and support and waste management and remediation services",411457.0,417296.0,420514.0,422822.0,427500.0,425647.0,425827.0,430595.0,438405.0,448543.0,456547.0,462708.0,453983.0,454903.0,454064.0,445206.0,422481.0,413211.0,410585.0,419107.0,435566.0,441580.0,447026.0,453832.0,454452.0,459059.0,461637.0,461912.0,473751.0,472286.0,473931.0,475756.0,474898.0,478566.0,483888.0,487282.0,490737.0,498893.0,502519.0,505362.0,506765.0,505580.0,508116.0,506732.0,504741.0,503973.0,507599.0,517504.0,528822.0,535883.0,542158.0,548997.0,551528.0,554272.0,560044.0,569153.0,568878.0,569622.0,574077.0,577471.0,573381.0,489035.0,541779.0
"00000","United States","69","      Educational services",171806.0,170982.0,172571.0,172118.0,174952.0,176537.0,176520.0,176766.0,176522.0,177459.0,179568.0,182151.0,184264.0,187905.0,193201.0,196704.0,205231.0,205345.0,205886.0,207653.0,209787.0,212022.0,212610.0,213673.0,214086.0,214589.0,212784.0,212168.0,214623.0,215389.0,213823.0,211697.0,209787.0,209774.0,210142.0,212313.0,210472.0,212384.0,214232.0,214058.0,214065.0,213303.0,213917.0,217061.0,220107.0,221645.0,220216.0,221078.0,218105.0,216086.0,216456.0,215947.0,218830.0,219174.0,220364.0,221782.0,222229.0,223876.0,225640.0,227285.0,225505.0,198847.0,207755.0
"00000","United States","70","      Health care and social assistance",979466.0,986245.0,1003718.0,1009422.0,1031705.0,1039295.0,1036383.0,1041109.0,1032600.0,1036144.0,1045752.0,1059966.0,1082201.0,1100927.0,1119581.0,1137292.0,1135884.0,1140610.0,1139476.0,1147532.0,1137399.0,1146685.0,1154717.0,1157760.0,1159168.0,1169981.0,1175316.0,1179446.0,1192634.0,1187728.0,1190032.0,1203530.0,1212052.0,1213305.0,1215417.0,1219463.0,1220645.0,1228880.0,1245899.0,1257702.0,1278027.0,1286393.0,1297612.0,1304212.0,1320145.0,1328464.0,1325420.0,1339193.0,1345889.0,1353097.0,1356833.0,1365915.0,1386073.0,1390035.0,1397602.0,1408749.0,1425673.0,1431950.0,1439481.0,1447454.0,1420445.0,1205631.0,1386777.0
"00000","United States","76","      Arts, entertainment, and recreation",143687.0,144784.0,146336.0,146221.0,149308.0,150593.0,148933.0,150341.0,150731.0,150392.0,152730.0,152115.0,151825.0,153081.0,153325.0,155437.0,151464.0,150829.0,151392.0,152118.0,155456.0,158320.0,159159.0,163290.0,161178.0,163680.0,166115.0,162885.0,169921.0,170517.0,170644.0,173851.0,173382.0,173654.0,173584.0,177983.0,180611.0,182365.0,183957.0,183168.0,179615.0,178346.0,179005.0,180435.0,182361.0,183428.0,185647.0,190683.0,186750.0,189226.0,195118.0,193786.0,193702.0,200247.0,199135.0,199325.0,200533.0,200401.0,204245.0,203459.0,188562.0,79360.0,111743.0
"00000","United States","79","      Accommodation and food services",451977.0,452085.0,456325.0,459229.0,467704.0,466179.0,467515.0,466381.0,466683.0,462312.0,457865.0,459931.0,451738.0,451027.0,446913.0,434517.0,418267.0,411592.0,410489.0,412105.0,417704.0,425694.0,432207.0,433211.0,438343.0,444775.0,446233.0,444203.0,450991.0,448146.0,447318.0,454052.0,461277.0,457716.0,458409.0,462325.0,465787.0,472048.0,480087.0,482775.0,492876.0,497976.0,501523.0,502193.0,501185.0,499650.0,502355.0,505889.0,510611.0,512051.0,511340.0,512672.0,513793.0,520630.0,519699.0,524731.0,521540.0,523642.0,531483.0,529133.0,490332.0,285975.0,415233.0
