"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Jeleniogórski";3,41;0,883;1,887;5,303;14,999;0,989;13,097;16,965;0,925;0,051;0,8;0,989;0,799;0,122;0,516;0,973;9,499;2,998;5,366;16,603
"Legnicko-Głogowski";7,881;1,103;5,587;9,939;14,952;1,023;12,953;16,988;0,891;0,074;0,709;0,985;0,769;0,129;0,471;0,963;65,428;23,29;30,876;122,075
"Tarnobrzeski";2,437;0,526;1,533;3,598;14,995;0,993;13,082;16,942;0,927;0,049;0,806;0,991;0,8;0,118;0,523;0,971;3,233;1,034;1,8;5,77
"Koniński";2,669;0,607;1,629;4,031;15,006;1,007;12,936;16,942;0,926;0,049;0,802;0,99;0,803;0,116;0,527;0,973;4,15;1,33;2,34;7,499
"Szczecinecko-pyrzycki";1,266;0,532;0,388;2,427;14,978;1,01;12,945;16,957;0,925;0,05;0,8;0,991;0,8;0,12;0,516;0,97;2,894;0,933;1,557;5,139
"Tyski";5,459;1,063;3,358;7,595;14,939;1,043;12,875;16,988;0,924;0,052;0,793;0,99;0,782;0,132;0,48;0,969;18,654;6,546;9,053;34,851
"Sieradzki";3,707;0,848;2,183;5,56;15,008;1,007;13,063;16,958;0,926;0,05;0,803;0,991;0,801;0,121;0,523;0,969;9,565;3,014;5,371;16,873
"Rzeszowski";4,49;0,728;3,157;6,069;14,967;1,002;13;16,932;0,925;0,05;0,803;0,991;0,797;0,12;0,528;0,971;7,302;2,376;3,993;13,316
"Szczeciński";3,4;0,773;2,066;5,119;14,989;1,002;12,99;16,983;0,927;0,049;0,811;0,991;0,798;0,122;0,502;0,973;7,037;2,263;3,928;12,63
"Bytomski";2,956;0,744;1,674;4,595;15,002;0,988;13,071;16,889;0,926;0,05;0,801;0,991;0,798;0,121;0,521;0,971;6,643;2,074;3,757;11,736
"Gliwicki";3,286;0,668;2,062;4,72;14,979;0,99;13,065;16,908;0,925;0,05;0,801;0,99;0,801;0,12;0,527;0,97;5,727;1,734;3,198;9,769
"Katowicki";3,385;0,822;1,922;5,149;14,981;1,004;13,068;16,945;0,927;0,049;0,802;0,991;0,801;0,121;0,511;0,971;8,418;2,559;4,801;14,762
"Koszaliński";3,304;0,774;1,956;4,975;14,994;0,993;13,013;16,898;0,926;0,049;0,808;0,99;0,802;0,118;0,525;0,975;7,031;2,236;3,839;12,511
"Suwalski";3,714;0,817;2,246;5,465;15,026;0,988;13,126;16,945;0,926;0,05;0,802;0,99;0,798;0,121;0,516;0,971;8,978;2,788;4,982;15,417
"Lubelski";3,268;0,665;2,142;4,737;15,002;1,017;13,053;17,043;0,925;0,05;0,801;0,991;0,8;0,122;0,517;0,972;5,383;1,728;2,965;9,638
"Wałbrzyski";1,728;0,548;0,805;2,938;15,007;0,994;12,979;16,939;0,927;0,049;0,803;0,991;0,799;0,121;0,523;0,972;3,197;1,018;1,761;5,663
"Miasto Warszawa";3,381;0,676;2,19;4,866;14,962;1,038;12,895;16,926;0,924;0,051;0,8;0,99;0,799;0,122;0,517;0,971;5,37;1,751;2,847;9,542
"Tarnowski";3,376;0,744;2,081;4,972;15,004;1,023;13,019;17,049;0,925;0,05;0,805;0,99;0,803;0,118;0,527;0,972;6,868;2,19;3,825;12,233
"Piotrkowski";3,033;0,58;2,013;4,306;14,974;1,003;13,061;16,922;0,926;0,049;0,81;0,991;0,801;0,119;0,523;0,971;4,151;1,329;2,294;7,409
"Warszawski wschodni";4,866;0,965;3,003;6,799;14,901;1,017;12,937;16,915;0,917;0,056;0,78;0,991;0,785;0,127;0,491;0,968;11,354;4,099;5,12;21,04
"Pilski";2,661;0,687;1,487;4,182;14,976;0,985;12,985;16,874;0,928;0,048;0,808;0,99;0,8;0,122;0,513;0,974;5,185;1,635;2,909;9,095
"Nowosądecki";3,993;0,761;2,632;5,615;14,983;1,002;12,998;16,905;0,926;0,049;0,805;0,991;0,798;0,123;0,506;0,972;7,912;2,503;4,425;14,065
"Elbląski";1,584;0,436;0,853;2,551;14,992;0,984;13,044;16,923;0,925;0,049;0,805;0,99;0,797;0,121;0,517;0,972;2,148;0,695;1,171;3,817
"Sosnowiecki";5,523;1,076;3,411;7,675;14,976;1,011;13,039;17,002;0,921;0,053;0,79;0,99;0,796;0,123;0,513;0,97;21,537;7,208;10,812;38,932
"Krosnieński";1,59;0,584;0,599;2,883;15,002;1,005;13,011;16,985;0,925;0,051;0,797;0,99;0,801;0,12;0,524;0,974;3,382;1,118;1,863;6,153
"Krakowski";5,308;1,075;3,361;7,628;15,037;0,959;13,19;16,92;0,911;0,059;0,767;0,988;0,722;0,135;0,424;0,935;10,675;5,054;4,258;23,591
"Częstochowski";3,723;0,995;1,857;5,77;14,822;1,046;12,76;16,885;0,924;0,051;0,797;0,991;0,781;0,127;0,485;0,967;9,306;3,461;4,209;17,704
"Grudziądzki";2,296;0,529;1,412;3,491;14,985;1,014;13,034;16,943;0,926;0,049;0,804;0,991;0,802;0,12;0,521;0,972;3,126;1,026;1,712;5,567
"Chełmsko-zamojski";2,42;0,78;1,083;4,127;15,022;0,992;13,081;16,966;0,925;0,049;0,807;0,991;0,799;0,122;0,518;0,974;6,468;2,052;3,545;11,522
"Bielski";2,141;0,488;1,317;3,203;14,973;0,994;13,065;16,938;0,925;0,051;0,802;0,99;0,8;0,119;0,521;0,971;2,766;0,872;1,526;4,981
"Rybnicki";6,872;1,076;4,724;8,998;14,969;0,996;13,04;16,895;0,916;0,057;0,773;0,99;0,782;0,13;0,481;0,97;33,406;11,452;16,934;60,709
"Miasto Poznań";2,069;0,664;0,946;3,521;15,013;1,003;13,076;17,058;0,926;0,05;0,805;0,991;0,798;0,12;0,511;0,971;4,67;1,476;2,573;8,173
"Warszawski zachodni";5,57;0,79;4,124;7,237;14,966;1,001;12,991;16,883;0,924;0,051;0,798;0,99;0,797;0,12;0,516;0,973;11,353;3,57;6,377;20,254
"Inowrocławski";1,891;0,582;0,918;3,243;15,024;0,999;13,053;16,965;0,926;0,05;0,797;0,991;0,797;0,12;0,52;0,971;3,546;1,121;1,984;6,299
"Świecki";5,606;1,069;3,53;7,704;14,897;1,003;12,949;16,808;0,908;0,058;0,766;0,987;0,798;0,124;0,51;0,971;17,625;6,547;8,412;33,515
"Gorzowski";2,129;0,614;1,05;3,493;15,024;1,016;13,001;16,966;0,927;0,048;0,809;0,99;0,799;0,121;0,516;0,972;3,994;1,246;2,182;7,031
"Przemyski";1,877;0,671;0,726;3,349;14,979;1,009;12,961;16,962;0,927;0,049;0,807;0,991;0,801;0,122;0,508;0,973;4,638;1,415;2,611;8,125
"Żyrardowski";4,719;0,895;3,089;6,589;14,976;1,01;13,034;16,984;0,925;0,05;0,804;0,991;0,796;0,123;0,515;0,973;12,422;4,002;6,868;21,909
"Ciechanowski";4,756;0,953;3,05;6,724;14,989;0,987;13,049;16,963;0,925;0,05;0,805;0,99;0,797;0,123;0,503;0,971;14,493;4,838;7,934;26,517
"Płocki";8,388;1,028;6,371;10,388;14,961;1,026;12,898;16,94;0,889;0,075;0,696;0,985;0,765;0,128;0,478;0,962;72,587;24,433;37,535;132,083
