"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"North Carolina";1,359;0,277;0,771;1,809;4,268;0,767;2,86;5,75;0,946;0,04;0,847;0,994;0,85;0,084;0,655;0,973;1,72;0,338;1,177;2,494
"Utah";0,352;0,882;-1,379;1,952;3,68;0,382;3,08;4,588;0,842;0,088;0,634;0,966;0,952;0,038;0,852;0,995;2,574;0,516;1,743;3,76
"North Dakota";0,78;0,909;-0,972;2,641;5,745;0,868;3,954;7,362;0,901;0,071;0,717;0,988;0,93;0,052;0,799;0,991;42,104;8,724;28,476;62,428
"South Carolina";0,118;0,348;-0,528;0,805;2,827;0,204;2,466;3,259;0,868;0,068;0,709;0,97;0,93;0,038;0,839;0,985;0,985;0,187;0,681;1,401
"Mississippi";-0,139;0,193;-0,521;0,25;3,884;0,39;3,151;4,661;0,959;0,028;0,891;0,995;0,901;0,065;0,742;0,987;1,765;0,328;1,242;2,503
"Colorado";0,026;0,226;-0,409;0,487;2,834;0,186;2,467;3,191;0,887;0,057;0,762;0,975;0,937;0,037;0,847;0,991;0,991;0,208;0,666;1,481
"South Dakota";0,696;0,416;-0,122;1,489;4,303;0,637;3,091;5,595;0,857;0,07;0,696;0,964;0,8;0,089;0,606;0,944;3,642;0,873;2,27;5,621
"Oklahoma";-1,851;0,855;-3,395;-0,052;4,102;0,54;3,072;5,177;0,859;0,064;0,712;0,961;0,885;0,054;0,756;0,966;9,658;2,607;5,804;16,131
"Wyoming";-0,805;0,757;-2,231;0,761;5,856;0,99;3,845;7,794;0,956;0,032;0,873;0,995;0,897;0,067;0,741;0,986;39,069;8,347;26,21;59,319
"West Virginia";-1,791;0,435;-2,631;-0,904;2,629;0,319;2,014;3,256;0,902;0,053;0,78;0,978;0,926;0,041;0,83;0,984;3,568;0,739;2,397;5,251
"Maine";0,095;0,19;-0,308;0,442;2,144;0,223;1,676;2,559;0,897;0,051;0,778;0,971;0,88;0,059;0,744;0,971;0,785;0,161;0,533;1,161
"New Hampshire";-0,389;0,537;-1,203;1,251;1,785;0,388;1,35;2,207;0,84;0,083;0,645;0,967;0,938;0,04;0,838;0,988;1,226;0,259;0,844;1,847
"Arizona";-0,611;0,364;-1,311;0,138;3,827;0,347;3,151;4,51;0,918;0,044;0,814;0,982;0,944;0,038;0,851;0,993;3,703;0,699;2,591;5,288
"Rhode Island";-2,327;0,647;-3,37;-0,948;0,94;0,2;0,597;1,39;0,784;0,102;0,556;0,944;0,944;0,033;0,863;0,99;1,247;0,295;0,812;1,94
