"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Leszczyński";0,089;0,55;-1,031;1,46;-0,067;0,411;-1,522;0,262;0,807;0,13;0,513;0,99;0,93;0,081;0,707;0,999;0,91;0,122;0,699;1,186
"Jeleniogórski";0,04;0,556;-1,126;1,502;-0,075;0,285;-0,543;0,211;0,801;0,124;0,507;0,982;0,928;0,082;0,694;0,999;0,929;0,126;0,709;1,201
"Legnicko-głogowski";0,081;0,549;-1,093;1,506;-0,027;0,268;-0,427;0,24;0,805;0,122;0,528;0,982;0,928;0,083;0,694;0,999;0,911;0,123;0,702;1,181
"Tarnobrzeski";0,056;0,523;-1,002;1,39;-0,049;0,265;-0,387;0,211;0,798;0,124;0,512;0,979;0,912;0,101;0,639;0,999;0,923;0,124;0,716;1,194
"Koniński";0,041;0,517;-1,074;1,303;-0,057;0,279;-0,496;0,221;0,809;0,123;0,53;0,984;0,928;0,081;0,715;0,999;0,914;0,124;0,701;1,185
"Szczecinecko-pyrzycki";0,047;0,543;-1,084;1,458;-0,102;0,343;-1,016;0,192;0,801;0,128;0,505;0,986;0,926;0,085;0,697;0,999;0,943;0,126;0,729;1,215
"Tyski";0,092;0,503;-0,976;1,406;-0,028;0,365;-1,228;0,284;0,812;0,124;0,531;0,987;0,921;0,088;0,68;0,999;0,912;0,124;0,702;1,18
"Sieradzki";0,071;0,583;-1,184;1,537;-0,057;0,332;-0,84;0,222;0,804;0,123;0,526;0,986;0,936;0,078;0,716;0,999;0,917;0,121;0,704;1,189
"Rzeszowski";0,081;0,566;-1,2;1,547;-0,034;0,351;-1,024;0,249;0,801;0,126;0,519;0,985;0,93;0,084;0,685;0,999;0,909;0,123;0,695;1,189
"Szczeciński";0,039;0,569;-1,162;1,441;-0,071;0,251;-0,401;0,196;0,798;0,123;0,516;0,978;0,929;0,085;0,697;0,999;0,928;0,124;0,714;1,204
"Bytomski";0,055;0,511;-0,995;1,365;-0,091;0,377;-1,196;0,217;0,806;0,129;0,502;0,988;0,918;0,094;0,66;0,999;0,924;0,127;0,708;1,213
"Gliwicki";0,077;0,522;-1,1;1,451;-0,061;0,391;-1,32;0,246;0,804;0,13;0,509;0,987;0,917;0,093;0,668;0,999;0,906;0,121;0,698;1,165
"Katowicki";0,104;0,579;-1,07;1,598;-0,016;0,289;-0,342;0,231;0,792;0,128;0,501;0,978;0,926;0,092;0,662;0,999;0,899;0,123;0,688;1,172
"Koszaliński";0,079;0,541;-1,072;1,463;-0,065;0,357;-1,154;0,241;0,802;0,128;0,505;0,987;0,922;0,087;0,681;0,999;0,949;0,126;0,734;1,223
"Suwalski";0,069;0,554;-1,084;1,469;-0,074;0,37;-1,153;0,226;0,809;0,123;0,535;0,987;0,93;0,083;0,693;0,999;0,938;0,127;0,724;1,215
"Lubelski";0,087;0,561;-1,091;1,535;-0,012;0,271;-0,368;0,247;0,794;0,126;0,512;0,98;0,93;0,085;0,698;0,999;0,909;0,125;0,698;1,18
"Wałbrzyski";0,029;0,526;-1,065;1,346;-0,112;0,337;-1,047;0,189;0,815;0,123;0,528;0,986;0,924;0,085;0,694;0,999;0,956;0,129;0,739;1,255
"Miasto Warszawa";0,096;0,556;-1,089;1,488;0,006;0,301;-0,531;0,279;0,802;0,128;0,504;0,983;0,925;0,09;0,672;0,999;0,901;0,12;0,694;1,167
"Tarnowski";0,081;0,557;-1,105;1,44;-0,044;0,327;-0,682;0,232;0,804;0,123;0,521;0,985;0,926;0,088;0,675;0,999;0,909;0,122;0,704;1,172
"Piotrkowski";0,05;0,552;-1,151;1,494;-0,072;0,309;-0,771;0,213;0,805;0,124;0,514;0,985;0,922;0,088;0,687;0,999;0,92;0,124;0,709;1,196
"Warszawski wschodni";0,082;0,56;-1,105;1,482;-0,027;0,311;-0,738;0,242;0,8;0,126;0,515;0,984;0,927;0,084;0,686;0,999;0,919;0,124;0,707;1,191
"Pilski";0,032;0,551;-1,145;1,41;-0,091;0,339;-1,082;0,213;0,806;0,127;0,518;0,987;0,925;0,084;0,692;0,999;0,934;0,127;0,716;1,214
"Nowosądecki";0,058;0,542;-1,081;1,445;-0,046;0,239;-0,36;0,217;0,79;0,129;0,491;0,978;0,925;0,086;0,691;0,999;0,926;0,125;0,717;1,204
"Elbląski";0,043;0,519;-1,056;1,358;-0,081;0,33;-0,774;0,227;0,801;0,124;0,513;0,982;0,92;0,088;0,68;0,999;0,95;0,128;0,729;1,227
"Sosnowiecki";0,056;0,531;-1,062;1,362;-0,062;0,323;-0,673;0,221;0,801;0,126;0,518;0,986;0,928;0,088;0,687;0,999;0,916;0,123;0,706;1,182
"Krośnieński";0,068;0,58;-1,16;1,5;-0,06;0,333;-0,842;0,214;0,794;0,131;0,506;0,985;0,923;0,09;0,667;0,999;0,916;0,124;0,701;1,19
"Krakowski";0,066;0,55;-1,084;1,511;-0,042;0,267;-0,389;0,212;0,797;0,127;0,516;0,98;0,929;0,084;0,697;0,999;0,915;0,123;0,707;1,18
"Częstochowski";0,049;0,614;-1,227;1,547;-0,064;0,274;-0,429;0,207;0,802;0,123;0,511;0,98;0,936;0,083;0,688;0,999;0,923;0,124;0,715;1,196
"Grudziądzki";0,062;0,557;-1,15;1,447;-0,057;0,262;-0,438;0,205;0,797;0,127;0,501;0,98;0,933;0,078;0,713;0,999;0,946;0,13;0,724;1,232
"Chełmsko-zamojski";0,08;0,566;-1,149;1,521;-0,041;0,318;-0,862;0,237;0,804;0,125;0,513;0,985;0,93;0,083;0,701;0,999;0,912;0,124;0,703;1,185
"Bielski";0,074;0,55;-1,118;1,449;-0,012;0,225;-0,326;0,237;0,792;0,128;0,499;0,976;0,923;0,089;0,673;0,999;0,91;0,121;0,703;1,167
"Rybnicki";0,086;0,532;-1,036;1,383;-0,017;0,321;-0,766;0,267;0,797;0,127;0,498;0,984;0,925;0,085;0,692;0,999;0,918;0,127;0,704;1,203
"Miasto Poznań";0,109;0,57;-1,108;1,502;0;0,315;-0,664;0,272;0,803;0,126;0,51;0,986;0,929;0,086;0,675;0,999;0,903;0,123;0,691;1,17
"Warszawski zachodni";0,076;0,529;-1,017;1,427;-0,019;0,316;-0,566;0,252;0,798;0,128;0,506;0,983;0,923;0,087;0,681;0,999;0,9;0,117;0,701;1,154
"Inowrocławski";0,047;0,557;-1,16;1,459;-0,077;0,269;-0,48;0,204;0,799;0,124;0,522;0,982;0,928;0,085;0,697;0,999;0,94;0,128;0,724;1,225
"Świecki";0,021;0,494;-0,983;1,271;-0,071;0,24;-0,433;0,213;0,793;0,128;0,5;0,979;0,912;0,092;0,668;0,999;0,953;0,13;0,735;1,235
"Gorzowski";0,056;0,543;-1,083;1,432;-0,067;0,301;-0,745;0,224;0,803;0,127;0,509;0,985;0,928;0,084;0,694;0,999;0,937;0,124;0,722;1,211
"Przemyski";0,063;0,569;-1,132;1,526;-0,066;0,329;-0,921;0,224;0,803;0,127;0,513;0,985;0,925;0,092;0,67;0,999;0,924;0,124;0,715;1,202
"Żyrardowski";0,07;0,547;-1,135;1,392;-0,031;0,271;-0,548;0,237;0,801;0,127;0,506;0,982;0,928;0,083;0,693;0,999;0,907;0,121;0,696;1,17
"Ciechanowski";0,056;0,515;-0,961;1,354;-0,065;0,307;-0,648;0,21;0,801;0,127;0,509;0,982;0,932;0,078;0,718;0,999;0,926;0,128;0,713;1,212
"Płocki";0,065;0,506;-0,951;1,423;-0,053;0,321;-0,732;0,232;0,802;0,129;0,505;0,983;0,915;0,089;0,683;0,999;0,921;0,124;0,707;1,19
