"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"New Jersey";4,59;0,245;4,112;5,074;-0,004;0,037;-0,078;0,067;0,75;0,106;0,514;0,922;0,989;0,006;0,973;0,998;0,365;0,032;0,306;0,432
"North Carolina";1,558;0,114;1,341;1,778;-0,183;0,038;-0,261;-0,11;0,891;0,047;0,783;0,965;0,983;0,008;0,964;0,996;0,328;0,029;0,277;0,391
"Utah";0,195;0,038;0,121;0,269;-1,049;0,087;-1,218;-0,884;0,973;0,012;0,945;0,991;0,944;0,029;0,877;0,986;0,214;0,019;0,18;0,254
"North Dakota";0,204;0,028;0,148;0,261;-1,064;0,07;-1,204;-0,932;0,978;0,01;0,954;0,993;0,926;0,036;0,841;0,98;0,163;0,015;0,137;0,194
"South Carolina";0,74;0,051;0,64;0,84;-0,453;0,036;-0,523;-0,381;0,933;0,025;0,877;0,973;0,965;0,015;0,93;0,987;0,179;0,017;0,15;0,216
"Mississippi";0,891;0,098;0,694;1,073;-0,242;0,043;-0,329;-0,161;0,899;0,039;0,81;0,961;0,972;0,012;0,944;0,991;0,27;0,024;0,227;0,32
"Colorado";1,295;0,094;1,107;1,477;-0,211;0,039;-0,289;-0,137;0,913;0,037;0,828;0,97;0,977;0,01;0,955;0,993;0,265;0,023;0,223;0,314
"South Dakota";0,092;0,03;0,04;0,159;-1,329;0,142;-1,533;-0,876;0,984;0,008;0,964;0,995;0,938;0,042;0,834;0,992;0,143;0,012;0,121;0,17
"Oklahoma";0,354;0,041;0,271;0,437;-0,403;0,041;-0,489;-0,326;0,937;0,022;0,889;0,973;0,944;0,021;0,898;0,978;0,126;0,012;0,105;0,15
"Wyoming";0,986;0,165;0,715;1,364;-0,277;0,05;-0,372;-0,178;0,893;0,048;0,78;0,966;0,98;0,01;0,956;0,995;0,379;0,034;0,318;0,45
"West Virginia";0,509;0,065;0,386;0,642;-0,403;0,044;-0,49;-0,32;0,903;0,03;0,836;0,953;0,946;0,019;0,903;0,976;0,163;0,015;0,137;0,194
"Maine";-0,049;0,023;-0,093;-0,004;-2,387;0,168;-2,714;-2,055;0,985;0,007;0,969;0,996;0,805;0,101;0,564;0,956;0,141;0,012;0,119;0,167
"New Hampshire";0,236;0,038;0,163;0,312;-0,377;0,065;-0,507;-0,246;0,96;0,016;0,923;0,985;0,945;0,026;0,886;0,984;0,178;0,016;0,149;0,212
"Arizona";0,907;0,075;0,754;1,052;-0,145;0,03;-0,207;-0,088;0,909;0,039;0,818;0,969;0,984;0,009;0,963;0,997;0,155;0,014;0,131;0,184
"Rhode Island";1,903;0,129;1,646;2,158;-0,167;0,04;-0,248;-0,091;0,91;0,048;0,796;0,98;0,986;0,008;0,967;0,997;0,359;0,032;0,301;0,428
