"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Jeleniogorski";-0,15;0,1;-0,29;0,11;-1,04;0,15;-1,3;-0,72;0,96;0,02;0,9;0,99;0,93;0,04;0,84;0,99;0,2;0,03;0,15;0,26
"Legnicko-glogowski";0,28;0,07;0,14;0,43;-0,11;0,05;-0,2;-0,02;0,91;0,05;0,8;0,98;0,97;0,02;0,9;1;0,12;0,02;0,09;0,15
"Tarnobrzeski";0,2;0,11;0,01;0,43;-0,34;0,06;-0,46;-0,24;0,89;0,06;0,76;0,97;0,96;0,03;0,89;0,99;0,14;0,02;0,1;0,18
"Koninski";0,06;0,05;-0,04;0,16;-0,52;0,05;-0,62;-0,42;0,95;0,03;0,88;0,99;0,97;0,02;0,91;1;0,12;0,02;0,09;0,15
"Szczecinecko-pyrzycki";-0,02;0,09;-0,18;0,17;-0,75;0,06;-0,86;-0,62;0,93;0,04;0,83;0,98;0,96;0,02;0,9;0,99;0,18;0,02;0,13;0,23
"Tyski";0,56;0,05;0,46;0,67;0,04;0,05;-0,06;0,13;0,95;0,03;0,88;0,99;0,97;0,02;0,9;1;0,12;0,02;0,09;0,15
"Sieradzki";-0,16;0,24;-0,58;0,15;-0,15;0,21;-0,52;0,12;0,92;0,05;0,78;0,99;0,95;0,04;0,85;0,99;0,12;0,02;0,09;0,16
"Rzeszowski";0,1;0,36;-0,57;0,93;0,13;0,18;-0,09;0,32;0,88;0,09;0,63;0,99;0,94;0,06;0,77;1;0,11;0,02;0,08;0,15
"Szczecinski";-0,27;0,07;-0,4;-0,13;-0,91;0,08;-1,07;-0,76;0,93;0,03;0,86;0,98;0,93;0,04;0,84;0,98;0,15;0,02;0,12;0,2
"Bytomski";0,27;0,13;-0,01;0,49;-0,54;0,12;-0,86;-0,38;0,92;0,04;0,82;0,98;0,96;0,03;0,88;0,99;0,2;0,03;0,15;0,26
"Gliwicki";0,31;0,07;0,19;0,45;-0,21;0,07;-0,36;-0,07;0,93;0,04;0,84;0,98;0,93;0,04;0,84;0,98;0,13;0,02;0,1;0,17
"Katowicki";0,35;0,08;0,21;0,51;-0,05;0,07;-0,21;0,07;0,92;0,05;0,81;0,99;0,95;0,03;0,87;0,99;0,12;0,02;0,09;0,15
"Koszalinski";0,59;0,21;0,18;1,06;-0,38;0,09;-0,61;-0,23;0,91;0,06;0,78;0,98;0,97;0,02;0,92;1;0,22;0,03;0,17;0,29
"Suwalski";0,2;0,07;0,05;0,35;-0,33;0,06;-0,47;-0,22;0,91;0,04;0,82;0,97;0,94;0,04;0,86;0,99;0,15;0,02;0,11;0,19
"Lubelski";0,41;0,06;0,28;0,53;-0,11;0,05;-0,22;-0,01;0,94;0,03;0,87;0,99;0,97;0,02;0,91;1;0,12;0,02;0,09;0,16
"Walbrzyski";0,39;0,16;0,09;0,67;-0,97;0,1;-1,17;-0,81;0,93;0,04;0,84;0,99;0,97;0,02;0,91;0,99;0,26;0,04;0,2;0,34
"Miasto Warszawa";-0,03;0,08;-0,22;0,09;0,77;0,07;0,63;0,89;0,94;0,03;0,87;0,99;0,97;0,02;0,91;1;0,15;0,02;0,12;0,2
"Tarnowski";-0,01;0,22;-0,33;0,38;0,04;0,17;-0,25;0,32;0,92;0,06;0,78;0,99;0,95;0,04;0,86;1;0,12;0,02;0,09;0,16
"Piotrkowski";0,12;0,07;0;0,27;-0,58;0,08;-0,75;-0,42;0,95;0,03;0,88;0,99;0,96;0,03;0,89;1;0,15;0,02;0,12;0,2
"Warszawski wschodni";0,73;0,08;0,59;0,89;-0,28;0,06;-0,39;-0,16;0,94;0,03;0,86;0,99;0,97;0,02;0,93;1;0,19;0,03;0,14;0,24
"Pilski";0,05;0,06;-0,06;0,16;-0,88;0,08;-1,04;-0,72;0,96;0,02;0,91;0,99;0,96;0,03;0,88;0,99;0,2;0,03;0,15;0,25
"Nowosadecki";-0,04;0,05;-0,14;0,06;-0,96;0,11;-1,17;-0,76;0,96;0,02;0,9;0,99;0,91;0,05;0,8;0,98;0,16;0,02;0,12;0,21
"Elblaski";0,35;0,08;0,19;0,5;-0,67;0,06;-0,78;-0,56;0,93;0,04;0,84;0,98;0,97;0,02;0,93;1;0,2;0,03;0,15;0,26
"Sosnowiecki";0,29;0,11;0,02;0,49;-0,37;0,05;-0,48;-0,28;0,9;0,05;0,77;0,98;0,97;0,02;0,91;0,99;0,14;0,02;0,1;0,18
"Krosnienski";0,15;0,08;-0,01;0,31;-0,3;0,08;-0,49;-0,17;0,93;0,04;0,82;0,99;0,96;0,03;0,88;0,99;0,13;0,02;0,1;0,17
"Krakowski";0,02;0,06;-0,08;0,14;-0,54;0,08;-0,71;-0,39;0,96;0,03;0,9;0,99;0,94;0,04;0,86;0,99;0,14;0,02;0,1;0,18
